fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2021-12-01,8096,CUENCA,CUENCA,949,3.5,8.4,-2.4,07:20,9.4,13:00,35,1.1,9.7,20:00,3.9,915.5,00,902.9,24,76,95,23:40,63.0,13:00
2021-12-02,8096,CUENCA,CUENCA,949,5.2,0.0,1.6,23:59,8.8,15:20,32,2.2,11.9,13:50,6.0,908.6,22,900.9,06,65,94,03:00,47.0,15:20
2021-12-03,8096,CUENCA,CUENCA,949,6.6,0.0,1.5,00:10,11.6,14:50,32,1.7,10.0,12:20,5.9,914.2,24,908.4,01,64,85,23:50,51.0,15:10
2021-12-04,8096,CUENCA,CUENCA,949,5.0,0.0,-0.7,08:00,10.7,12:00,31,1.1,6.4,15:00,4.2,913.9,00,910.9,24,77,92,08:40,62.0,12:00
2021-12-05,8096,CUENCA,CUENCA,949,4.2,0.8,1.6,07:30,6.8,14:20,31,2.5,11.7,11:30,0.2,911.9,24,907.4,15,82,89,06:20,61.0,11:20
2021-12-06,8096,CUENCA,CUENCA,949,6.6,0.0,1.6,05:50,11.6,14:30,31,1.4,7.5,11:10,7.0,915.0,20,911.6,01,71,90,07:00,52.0,14:30
2021-12-07,8096,CUENCA,CUENCA,949,5.2,1.8,1.7,06:50,8.7,17:50,22,1.1,8.3,23:10,0.0,914.8,03,903.7,24,91,96,Varias,81.0,00:00
2021-12-08,8096,CUENCA,CUENCA,949,5.4,0.2,2.0,23:59,8.8,01:50,27,3.9,15.0,03:30,3.5,907.9,Varias,902.1,03,67,96,00:40,50.0,14:00
2021-12-09,8096,CUENCA,CUENCA,949,5.1,,1.5,00:50,8.7,18:20,32,3.1,11.1,13:30,1.5,911.0,11,907.9,00,77,82,16:10,66.0,11:20
2021-12-10,8096,CUENCA,CUENCA,949,9.6,0.0,5.3,04:40,13.9,13:30,31,2.5,11.1,12:10,3.7,910.3,00,906.6,15,76,89,Varias,62.0,13:30
2021-12-11,8096,CUENCA,CUENCA,949,9.6,0.0,3.6,05:10,15.6,14:40,1,1.7,10.3,15:10,7.2,916.3,23,909.8,01,69,89,Varias,53.0,14:50
