TIMESTAMP_HORA;LLEGADAS_HORA;PACIENTES_PRESENTES;CAP_BOXES_NOMINAL;RATIO_PRESENTES_BOXES_NOMINALES;EXCESO_SOBRE_BOXES_NOMINALES;TURNO;MEDICOS_TURNO;ENFERMERAS_TURNO;PACIENTES_POR_MEDICO;PACIENTES_POR_ENFERMERA;TRIAGE_DELAY_MEDIA;TRIAGE_DELAY_P95;INGRESOS_HORA;PCT_INGRESO;TRIAJE_I;TRIAJE_II;TRIAJE_III;TRIAJE_IV;TRIAJE_V;PCT_TRIAJE_ALTO_I_II
2021-12-01 01:00:00;2;0;9;0.000;0;NOCHE;5;8;0.000;0.000;5.500;5.950;1;0.500;0;0;0;0;2;0.000
2021-12-01 02:00:00;4;2;9;0.222;0;NOCHE;5;8;0.400;0.250;5.250;5.850;1;0.250;0;0;0;1;3;0.000
2021-12-01 03:00:00;2;6;9;0.667;0;NOCHE;5;8;1.200;0.750;7.000;7.000;1;0.500;0;0;0;1;0;0.000
2021-12-01 04:00:00;0;6;9;0.667;0;NOCHE;5;8;1.200;0.750;;;0;0.000;0;0;0;0;0;
2021-12-01 05:00:00;2;2;9;0.222;0;NOCHE;5;8;0.400;0.250;12.000;13.800;1;0.500;0;0;0;0;2;0.000
2021-12-01 06:00:00;1;3;9;0.333;0;NOCHE;5;8;0.600;0.375;8.000;8.000;0;0.000;0;0;0;1;0;0.000
2021-12-01 07:00:00;1;4;9;0.444;0;NOCHE;5;8;0.800;0.500;3.000;3.000;0;0.000;0;0;0;0;1;0.000
2021-12-01 08:00:00;4;5;9;0.556;0;MANANA;10;8;0.500;0.625;10.333;14.500;0;0.000;0;0;3;0;0;0.000
2021-12-01 09:00:00;15;5;9;0.556;0;MANANA;10;8;0.500;0.625;6.333;13.000;1;0.067;0;0;6;0;0;0.000
2021-12-01 10:00:00;12;14;9;1.556;5;MANANA;10;8;1.400;1.750;7.100;14.300;1;0.083;0;0;5;5;0;0.000
2021-12-01 11:00:00;13;22;9;2.444;13;MANANA;10;8;2.200;2.750;11.417;20.900;2;0.154;0;0;12;0;0;0.000
2021-12-01 12:00:00;23;24;9;2.667;15;MANANA;10;8;2.400;3.000;11.421;17.200;2;0.087;0;0;3;15;1;0.000
2021-12-01 13:00:00;11;36;9;4.000;27;MANANA;10;8;3.600;4.500;15.444;23.800;6;0.545;0;0;9;0;0;0.000
2021-12-01 14:00:00;11;30;9;3.333;21;MANANA;10;8;3.000;3.750;12.000;21.600;1;0.091;0;0;6;0;1;0.000
2021-12-01 15:00:00;3;30;9;3.333;21;TARDE;10;8;3.000;3.750;7.333;12.300;1;0.333;0;0;0;0;3;0.000
2021-12-01 16:00:00;12;29;9;3.222;20;TARDE;10;8;2.900;3.625;6.182;9.500;1;0.083;0;0;0;0;11;0.000
2021-12-01 17:00:00;6;34;9;3.778;25;TARDE;10;8;3.400;4.250;3.400;4.600;1;0.167;0;0;0;3;2;0.000
2021-12-01 18:00:00;13;28;9;3.111;19;TARDE;10;8;2.800;3.500;6.000;9.800;2;0.154;0;0;0;0;13;0.000
2021-12-01 19:00:00;6;29;9;3.222;20;TARDE;10;8;2.900;3.625;7.333;8.750;0;0.000;0;0;1;0;5;0.000
2021-12-01 20:00:00;6;24;9;2.667;15;TARDE;10;8;2.400;3.000;7.000;11.000;0;0.000;0;0;0;0;5;0.000
2021-12-01 21:00:00;9;19;9;2.111;10;TARDE;10;8;1.900;2.375;5.000;8.650;2;0.222;0;0;0;1;7;0.000
2021-12-01 22:00:00;5;26;9;2.889;17;NOCHE;5;8;5.200;3.250;22.600;27.600;1;0.200;0;0;1;1;3;0.000
2021-12-01 23:00:00;3;22;9;2.444;13;NOCHE;5;8;4.400;2.750;19.000;20.000;2;0.667;0;0;1;1;1;0.000
2021-12-02 00:00:00;0;19;9;2.111;10;NOCHE;5;8;3.800;2.375;;;0;0.000;0;0;0;0;0;
2021-12-02 01:00:00;1;9;9;1.000;0;NOCHE;5;8;1.800;1.125;58.000;58.000;0;0.000;0;1;0;0;0;1.000
2021-12-02 02:00:00;3;6;9;0.667;0;NOCHE;5;8;1.200;0.750;14.000;20.100;2;0.667;0;0;0;2;1;0.000
2021-12-02 03:00:00;0;7;9;0.778;0;NOCHE;5;8;1.400;0.875;;;0;0.000;0;0;0;0;0;
2021-12-02 04:00:00;2;7;9;0.778;0;NOCHE;5;8;1.400;0.875;12.500;17.450;0;0.000;0;0;1;1;0;0.000
2021-12-02 05:00:00;0;8;9;0.889;0;NOCHE;5;8;1.600;1.000;;;0;0.000;0;0;0;0;0;
